Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/bart-base/final_model
Epoch 1/10
  Step 01: reward=-0.0000 loss=0.7768 kl=0.7741
  Step 02: reward=0.0000 loss=1.0941 kl=1.6101
  Step 03: reward=0.0000 loss=1.1308 kl=1.5170
  Step 04: reward=0.0000 loss=1.2587 kl=0.7142
  Step 05: reward=0.0000 loss=0.8678 kl=0.9754
  Step 06: reward=0.0000 loss=0.8849 kl=0.9604
  Step 07: reward=-0.0000 loss=127.6610 kl=0.2228
  Step 08: reward=-0.0000 loss=0.8949 kl=0.3691
  Step 09: reward=-0.0000 loss=1.6494 kl=0.1135
  Step 10: reward=-0.0000 loss=0.5356 kl=0.4120
  Step 11: reward=0.0187 loss=0.8949 kl=0.3468
  Step 12: reward=0.0000 loss=0.7819 kl=0.5285
  Step 13: reward=0.0000 loss=5.3823 kl=-0.1250
  Step 14: reward=0.0000 loss=1.3474 kl=0.1757
  Step 15: reward=0.0000 loss=1.0181 kl=0.4479
  Step 16: reward=0.0000 loss=0.9573 kl=0.4511
  Step 17: reward=0.0000 loss=1.1918 kl=0.6955
  Step 18: reward=-0.0000 loss=8.0184 kl=0.7614
  Step 19: reward=0.0000 loss=2.9395 kl=0.4821
  Step 20: reward=0.0000 loss=3.9279 kl=0.0449
  Step 21: reward=0.0000 loss=1.7199 kl=1.1915
  Step 22: reward=-0.0000 loss=14.3004 kl=0.5153
  Step 23: reward=-0.0000 loss=3.3642 kl=0.4514
  Step 24: reward=-0.0000 loss=1.2253 kl=0.7076
  Step 25: reward=-0.0000 loss=1.3642 kl=1.0991
  Step 26: reward=0.0000 loss=1.5270 kl=0.4773
  Step 27: reward=-0.0000 loss=0.8408 kl=0.3386
  Step 28: reward=0.0060 loss=0.6121 kl=0.2331
  Step 29: reward=0.0000 loss=1.1641 kl=0.5721
  Step 30: reward=0.0000 loss=1.5730 kl=0.7477
  Step 31: reward=-0.0000 loss=1.8694 kl=1.1354
  Step 32: reward=-0.0000 loss=0.9505 kl=0.4436
  Step 33: reward=0.0000 loss=1.5201 kl=0.9062
  Step 34: reward=-0.0000 loss=1.8662 kl=1.3599
  Step 35: reward=-0.0000 loss=2.5217 kl=0.3973
  Step 36: reward=-0.0000 loss=1.1413 kl=0.3395
  Step 37: reward=0.0000 loss=1.6820 kl=1.0265
  Step 38: reward=0.0000 loss=1.4399 kl=0.9531
  Step 39: reward=0.0000 loss=1.3282 kl=0.0822
  Step 40: reward=0.0000 loss=0.9984 kl=-0.2804
  Step 41: reward=0.0000 loss=1.2217 kl=0.4845
  Step 42: reward=0.0047 loss=3.2504 kl=0.1784
  Step 43: reward=0.0000 loss=1.6278 kl=1.0151
  Step 44: reward=0.0000 loss=0.8373 kl=0.0380
  Step 45: reward=-0.0000 loss=0.7509 kl=-0.0708
  Step 46: reward=0.0000 loss=1.5016 kl=0.1818
  Step 47: reward=0.0000 loss=1.5168 kl=0.5589
  Step 48: reward=0.0000 loss=1.0964 kl=0.2167
  Step 49: reward=-0.0000 loss=0.6245 kl=-0.0653
  Step 50: reward=0.0000 loss=0.7763 kl=0.4385
  Eval reward=0.5971 toxicity=0.1393
Epoch 2/10
  Step 01: reward=-0.0000 loss=0.9047 kl=0.2440
  Step 02: reward=-0.0000 loss=12.3844 kl=-0.3083
  Step 03: reward=0.0000 loss=0.9517 kl=0.5316
  Step 04: reward=-0.0000 loss=1.8223 kl=-0.1286
  Step 05: reward=0.0000 loss=1.7753 kl=0.0747
  Step 06: reward=0.0000 loss=0.7972 kl=0.0254
  Step 07: reward=0.0000 loss=0.9820 kl=0.0863
  Step 08: reward=-0.0000 loss=0.8838 kl=0.1673
  Step 09: reward=0.0000 loss=0.8219 kl=0.0758
  Step 10: reward=-0.0000 loss=2.5421 kl=1.9024
  Step 11: reward=-0.0000 loss=1.7017 kl=0.5537
  Step 12: reward=0.0000 loss=0.7486 kl=0.1253
  Step 13: reward=0.0000 loss=0.8580 kl=0.3540
  Step 14: reward=0.0000 loss=0.8850 kl=0.2710
  Step 15: reward=-0.0000 loss=0.8764 kl=0.7927
  Step 16: reward=0.0069 loss=0.8757 kl=0.4728
  Step 17: reward=-0.0000 loss=1.3097 kl=0.5027
  Step 18: reward=0.0000 loss=1.1869 kl=0.6892
  Step 19: reward=0.0000 loss=1.3895 kl=0.9433
  Step 20: reward=-0.0000 loss=1.2740 kl=0.7079
  Step 21: reward=-0.0000 loss=1.8981 kl=1.3769
  Step 22: reward=0.0000 loss=1.9261 kl=1.3697
  Step 23: reward=0.0000 loss=1.0595 kl=0.1060
  Step 24: reward=0.0000 loss=0.7278 kl=-0.1949
  Step 25: reward=0.0000 loss=27.7218 kl=-0.4308
  Step 26: reward=0.0000 loss=1.1585 kl=0.5615
  Step 27: reward=-0.0000 loss=0.8907 kl=-0.0811
  Step 28: reward=-0.0000 loss=2.3278 kl=-0.0206
  Step 29: reward=0.0000 loss=0.6776 kl=0.1413
