Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/bart-large/final_model
Epoch 1/10
  Step 01: reward=0.0164 loss=1.7195 kl=-0.8833
  Step 02: reward=0.0000 loss=2.0529 kl=0.0219
  Step 03: reward=0.0000 loss=0.7627 kl=0.4773
  Step 04: reward=0.0000 loss=1.0414 kl=1.3683
  Step 05: reward=-0.0000 loss=1.3100 kl=-0.6661
  Step 06: reward=-0.0000 loss=1.2563 kl=-0.4538
  Step 07: reward=-0.0000 loss=0.6598 kl=0.0002
  Step 08: reward=-0.0000 loss=4.7276 kl=-1.0599
  Step 09: reward=0.0115 loss=0.6323 kl=-0.7151
  Step 10: reward=0.0000 loss=0.6174 kl=-0.0618
  Step 11: reward=0.0000 loss=0.5971 kl=-0.3026
  Step 12: reward=0.0493 loss=0.6507 kl=-0.4385
  Step 13: reward=0.0000 loss=5.3676 kl=-1.1250
  Step 14: reward=0.0000 loss=1.3773 kl=-0.2534
  Step 15: reward=-0.0000 loss=0.7306 kl=0.2052
  Step 16: reward=-0.0000 loss=0.7970 kl=-0.4265
  Step 17: reward=-0.0000 loss=1.3584 kl=-0.2518
  Step 18: reward=0.0002 loss=2.0641 kl=-0.9385
  Step 19: reward=-0.0000 loss=2.5692 kl=-0.5704
  Step 20: reward=0.0000 loss=1.2804 kl=-0.4557
  Step 21: reward=-0.0000 loss=5.9799 kl=-1.6069
  Step 22: reward=0.0000 loss=640.7440 kl=-1.0961
  Step 23: reward=0.0000 loss=1.2697 kl=-0.8297
  Step 24: reward=0.0018 loss=4.7950 kl=-0.0281
  Step 25: reward=-0.0000 loss=1.6774 kl=-0.3109
  Step 26: reward=-0.0000 loss=1.4008 kl=1.1494
  Step 27: reward=-0.0000 loss=3.7177 kl=-0.6461
  Step 28: reward=0.0000 loss=314.7915 kl=-2.2449
  Step 29: reward=-0.0000 loss=1.8344 kl=1.5781
  Step 30: reward=-0.0000 loss=0.9148 kl=-0.2385
  Step 31: reward=0.0026 loss=21.3785 kl=-0.1218
  Step 32: reward=0.0321 loss=0.8874 kl=0.2350
  Step 33: reward=-0.0000 loss=0.7100 kl=0.0042
  Step 34: reward=0.0000 loss=0.7940 kl=-0.0557
  Step 35: reward=0.0000 loss=152.4710 kl=-1.2546
  Step 36: reward=-0.0000 loss=3.1229 kl=0.4001
  Step 37: reward=0.0119 loss=5.5527 kl=-0.2284
  Step 38: reward=0.0000 loss=2.1243 kl=-0.7442
  Step 39: reward=-0.0000 loss=4.5985 kl=0.0176
  Step 40: reward=0.0307 loss=1.0302 kl=0.3452
  Step 41: reward=-0.0000 loss=2536.5142 kl=1.0027
  Step 42: reward=0.0105 loss=4.7159 kl=0.0829
  Step 43: reward=0.0000 loss=0.8894 kl=0.5082
  Step 44: reward=0.0000 loss=0.8446 kl=-0.1765
  Step 45: reward=0.0000 loss=2.4564 kl=-0.0205
  Step 46: reward=0.0088 loss=0.7582 kl=0.7499
  Step 47: reward=0.0000 loss=2.0543 kl=0.3331
  Step 48: reward=0.0000 loss=13.0663 kl=-0.5284
  Step 49: reward=0.0000 loss=0.8746 kl=0.3201
  Step 50: reward=0.0109 loss=65.3764 kl=-0.7155
  Eval reward=0.5999 toxicity=0.0841
Epoch 2/10
  Step 01: reward=-0.0000 loss=2.1764 kl=-0.4245
  Step 02: reward=0.0000 loss=3.0138 kl=2.3730
  Step 03: reward=-0.0000 loss=4.2260 kl=-0.1767
  Step 04: reward=0.0000 loss=3.3219 kl=-0.1964
  Step 05: reward=0.0463 loss=2.5686 kl=-0.0085
  Step 06: reward=0.0000 loss=4.2771 kl=0.7233
  Step 07: reward=0.0431 loss=4.2723 kl=0.1441
  Step 08: reward=-0.0000 loss=4.8975 kl=1.8121
  Step 09: reward=0.0050 loss=4.3238 kl=2.4440
  Step 10: reward=-0.0000 loss=2.7648 kl=1.3924
  Step 11: reward=0.0000 loss=1.8721 kl=0.7405
  Step 12: reward=0.0000 loss=7.3536 kl=0.3801
  Step 13: reward=0.0058 loss=3.4580 kl=1.1295
  Step 14: reward=0.0000 loss=2.6135 kl=0.5361
  Step 15: reward=0.0000 loss=1.0102 kl=-0.0872
  Step 16: reward=0.0380 loss=1.7812 kl=0.1728
  Step 17: reward=0.0409 loss=1.8361 kl=0.6079
  Step 18: reward=-0.0000 loss=0.7816 kl=0.3962
  Step 19: reward=0.0000 loss=1.9068 kl=1.1098
  Step 20: reward=0.0178 loss=2.2785 kl=1.7951
  Step 21: reward=-0.0000 loss=0.8350 kl=0.4494
  Step 22: reward=0.0000 loss=1.4044 kl=0.3945
  Step 23: reward=0.0100 loss=1.6141 kl=0.4425
  Step 24: reward=0.0000 loss=1.8674 kl=1.4754
  Step 25: reward=0.0000 loss=1.2046 kl=-0.1670
  Step 26: reward=0.0090 loss=0.7717 kl=0.2617
  Step 27: reward=0.0042 loss=0.9157 kl=0.6828
  Step 28: reward=0.0348 loss=1.2897 kl=0.7221
  Step 29: reward=-0.0000 loss=3.1503 kl=2.6189
  Step 30: reward=0.0000 loss=14.9264 kl=0.0717
  Step 31: reward=0.0000 loss=3.2986 kl=0.9496
  Step 32: reward=0.0000 loss=1.7681 kl=0.2109
  Step 33: reward=0.0000 loss=0.7884 kl=0.2070
  Step 34: reward=-0.0000 loss=5.7332 kl=2.3387
