Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/bart-paraphrase/final_model
Epoch 1/10
  Step 01: reward=0.0100 loss=2.1467 kl=-0.6497
  Step 02: reward=0.0000 loss=1.7044 kl=-1.4137
  Step 03: reward=-0.0000 loss=2.0281 kl=1.0944
  Step 04: reward=-0.0000 loss=3.5179 kl=-0.5216
  Step 05: reward=0.0000 loss=1.6322 kl=-0.2194
  Step 06: reward=-0.0000 loss=1.0167 kl=0.0869
  Step 07: reward=-0.0000 loss=4.4078 kl=0.2432
  Step 08: reward=-0.0000 loss=1.6693 kl=0.4439
  Step 09: reward=-0.0000 loss=20.6354 kl=0.3476
  Step 10: reward=0.0000 loss=1.4804 kl=3.0584
  Step 11: reward=-0.0000 loss=23.6167 kl=-0.9856
  Step 12: reward=0.0252 loss=8.3995 kl=2.3604
  Step 13: reward=-0.0000 loss=1.7238 kl=2.3486
  Step 14: reward=-0.0000 loss=0.8494 kl=1.2915
  Step 15: reward=0.0000 loss=1.9877 kl=-0.4457
  Step 16: reward=0.0000 loss=1.6257 kl=-0.4746
  Step 17: reward=0.0000 loss=2.9690 kl=-0.8726
  Step 18: reward=0.0000 loss=0.5777 kl=0.1316
  Step 19: reward=0.0000 loss=9.1402 kl=-0.3762
  Step 20: reward=-0.0000 loss=12.8086 kl=2.2991
  Step 21: reward=0.0000 loss=1.4197 kl=-0.5866
  Step 22: reward=0.0129 loss=3.8813 kl=0.0970
  Step 23: reward=-0.0000 loss=27.9398 kl=1.4864
  Step 24: reward=0.0053 loss=2.5799 kl=2.3066
