Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/blenderbot/final_model
Epoch 1/10
  Step 01: reward=-0.0160 loss=903252.4375 kl=-0.5285
  Step 02: reward=-0.0145 loss=1.8175 kl=4.9944
  Step 03: reward=0.0000 loss=1.1019 kl=1.6191
  Step 04: reward=0.0000 loss=1.9346 kl=0.2199
  Step 05: reward=-0.0017 loss=5.2654 kl=-0.4792
  Step 06: reward=-0.0000 loss=0.7953 kl=1.0181
  Step 07: reward=0.0000 loss=5839.1851 kl=-1.5549
  Step 08: reward=0.0000 loss=0.7481 kl=0.2647
  Step 09: reward=-0.0000 loss=1.7970 kl=-0.0711
  Step 10: reward=-0.0078 loss=1.9079 kl=-0.4143
  Step 11: reward=-0.0015 loss=3.5170 kl=-0.1942
  Step 12: reward=0.0105 loss=4.7353 kl=-0.5901
  Step 13: reward=-0.0109 loss=1.1747 kl=-0.7658
  Step 14: reward=-0.0162 loss=1.4517 kl=-0.3157
  Step 15: reward=-0.0048 loss=0.8523 kl=0.0984
  Step 16: reward=0.0000 loss=0.4734 kl=-0.2752
  Step 17: reward=-0.0156 loss=1.3786 kl=0.0810
  Step 18: reward=0.0000 loss=156455321600.0000 kl=-0.9442
  Step 19: reward=-0.0049 loss=32594.4980 kl=-1.2575
  Step 20: reward=-0.0000 loss=1.1296 kl=0.8565
  Step 21: reward=-0.0000 loss=0.8428 kl=0.6594
  Step 22: reward=0.0000 loss=6.8000 kl=1.1627
  Step 23: reward=-0.0295 loss=2.3159 kl=0.2589
  Step 24: reward=-0.0000 loss=0.8809 kl=0.6508
  Step 25: reward=0.0000 loss=15.8204 kl=-0.6616
  Step 26: reward=0.0000 loss=1.3909 kl=0.8931
  Step 27: reward=-0.0122 loss=2.5469 kl=2.1175
  Step 28: reward=-0.0134 loss=0.4673 kl=0.0673
  Step 29: reward=-0.0073 loss=0.5963 kl=0.1659
  Step 30: reward=-0.0238 loss=1.2326 kl=0.7664
  Step 31: reward=-0.0007 loss=1.2269 kl=-0.4376
  Step 32: reward=-0.0148 loss=4.2487 kl=0.9990
  Step 33: reward=-0.0038 loss=1.0074 kl=0.2739
  Step 34: reward=0.0000 loss=1.6372 kl=0.2811
  Step 35: reward=-0.0000 loss=1089741952.0000 kl=-1.8552
  Step 36: reward=-0.0251 loss=1.8494 kl=0.9483
  Step 37: reward=0.0000 loss=2.3462 kl=1.6960
  Step 38: reward=0.0000 loss=6.5528 kl=-0.5717
  Step 39: reward=0.0000 loss=1.0044 kl=-0.0081
  Step 40: reward=-0.0098 loss=3.7044 kl=-0.3985
  Step 41: reward=-0.0111 loss=1.2227 kl=-0.6705
  Step 42: reward=-0.0000 loss=1.8100 kl=-0.5698
  Step 43: reward=0.0062 loss=1.2847 kl=-0.1521
  Step 44: reward=-0.0000 loss=2.4954 kl=0.8240
  Step 45: reward=-0.0007 loss=1.2285 kl=0.6566
  Step 46: reward=-0.0000 loss=0.6697 kl=0.1944
  Step 47: reward=-0.0175 loss=9.2515 kl=-0.6772
  Step 48: reward=-0.0146 loss=0.7550 kl=-0.0532
  Step 49: reward=0.0000 loss=2.2544 kl=0.8870
  Step 50: reward=0.0000 loss=72.7981 kl=2.0805
  Eval reward=0.5804 toxicity=0.0804
Epoch 2/10
  Step 01: reward=-0.0195 loss=2.7176 kl=0.1699
  Step 02: reward=0.0000 loss=1.3383 kl=0.5885
  Step 03: reward=-0.0280 loss=1.8068 kl=-0.2445
  Step 04: reward=-0.0000 loss=0.6758 kl=0.2143
  Step 05: reward=-0.0167 loss=2.1127 kl=1.1060
  Step 06: reward=0.0000 loss=1.5838 kl=0.9077
  Step 07: reward=0.0000 loss=1.1118 kl=0.2636
  Step 08: reward=-0.0000 loss=1.6624 kl=0.8025
  Step 09: reward=0.0000 loss=2.9708 kl=0.6414
