Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/mvp/final_model
Epoch 1/10
  Step 01: reward=0.0047 loss=3.9141 kl=-0.1776
  Step 02: reward=-0.0000 loss=2.9141 kl=-1.5320
  Step 03: reward=-0.0000 loss=1.5547 kl=-0.9967
  Step 04: reward=0.0046 loss=1.7507 kl=-0.5371
  Step 05: reward=0.0000 loss=1.5885 kl=1.8114
  Step 06: reward=-0.0000 loss=2.8885 kl=0.0914
  Step 07: reward=-0.0000 loss=563.0636 kl=-1.5498
  Step 08: reward=-0.0000 loss=1.4393 kl=0.5603
  Step 09: reward=0.0168 loss=7.7126 kl=-1.8701
  Step 10: reward=0.0000 loss=1.8400 kl=-1.1754
  Step 11: reward=-0.0000 loss=25.5671 kl=-1.1229
  Step 12: reward=0.0000 loss=1.2084 kl=-0.9228
  Step 13: reward=0.0000 loss=1.8392 kl=-0.5439
  Step 14: reward=0.0000 loss=12.2286 kl=-0.8288
  Step 15: reward=-0.0000 loss=2.0240 kl=-0.6688
  Step 16: reward=0.0000 loss=1.3112 kl=-1.1017
  Step 17: reward=-0.0000 loss=2.1885 kl=-0.5089
  Step 18: reward=0.0000 loss=1.5256 kl=-0.4123
  Step 19: reward=0.0000 loss=2.1520 kl=-1.0295
  Step 20: reward=0.0000 loss=1.9085 kl=-0.4017
  Step 21: reward=0.0000 loss=0.9446 kl=-0.1349
  Step 22: reward=-0.0000 loss=2.6567 kl=-0.9600
  Step 23: reward=0.0000 loss=3.3231 kl=2.5367
  Step 24: reward=-0.0000 loss=6.1229 kl=1.9724
  Step 25: reward=0.0000 loss=1.5934 kl=-0.4648
  Step 26: reward=-0.0000 loss=4.0041 kl=-1.0047
  Step 27: reward=0.0000 loss=1.5228 kl=-0.6150
  Step 28: reward=0.0000 loss=0.9936 kl=0.0225
  Step 29: reward=0.0000 loss=2.0054 kl=1.2418
  Step 30: reward=-0.0000 loss=4.7632 kl=4.1208
  Step 31: reward=-0.0000 loss=0.9553 kl=0.5459
  Step 32: reward=-0.0000 loss=1.1217 kl=-0.2497
  Step 33: reward=-0.0000 loss=2.8518 kl=1.1046
  Step 34: reward=-0.0000 loss=5.7690 kl=3.3993
  Step 35: reward=0.0000 loss=2.4692 kl=1.7875
  Step 36: reward=-0.0000 loss=2.6169 kl=0.5199
  Step 37: reward=0.0000 loss=2.8910 kl=-0.3837
  Step 38: reward=0.0018 loss=1.4963 kl=-0.1942
  Step 39: reward=0.0254 loss=1.2303 kl=0.2113
  Step 40: reward=-0.0000 loss=1.3239 kl=0.4166
  Step 41: reward=0.0323 loss=0.6598 kl=-0.1181
  Step 42: reward=0.0000 loss=1.5845 kl=0.7223
  Step 43: reward=-0.0000 loss=2.3866 kl=0.6608
  Step 44: reward=-0.0000 loss=2.6350 kl=2.0017
  Step 45: reward=0.0000 loss=6.8476 kl=0.8943
  Step 46: reward=-0.0000 loss=0.8203 kl=0.3215
  Step 47: reward=0.0000 loss=2.3119 kl=0.5889
  Step 48: reward=0.0000 loss=2.3660 kl=1.1640
  Step 49: reward=-0.0000 loss=0.9524 kl=-0.1337
  Step 50: reward=-0.0000 loss=8.6384 kl=0.8122
  Eval reward=0.6089 toxicity=0.0836
Epoch 2/10
  Step 01: reward=0.0000 loss=1.6195 kl=1.0610
  Step 02: reward=-0.0000 loss=2.4770 kl=1.3845
  Step 03: reward=0.0000 loss=2.4873 kl=1.8147
  Step 04: reward=-0.0000 loss=1.6047 kl=0.8392
  Step 05: reward=-0.0000 loss=1.1872 kl=-0.5122
  Step 06: reward=-0.0000 loss=1.2462 kl=0.5982
  Step 07: reward=-0.0000 loss=1.8594 kl=-0.6160
  Step 08: reward=0.0000 loss=2.3499 kl=1.2086
  Step 09: reward=-0.0000 loss=1.3543 kl=0.5750
  Step 10: reward=0.0000 loss=6.4955 kl=-0.7963
  Step 11: reward=-0.0000 loss=1.1345 kl=0.0686
  Step 12: reward=-0.0000 loss=1.5394 kl=-0.5548
  Step 13: reward=0.0000 loss=0.9010 kl=0.6231
  Step 14: reward=0.0000 loss=2.0076 kl=-0.6096
  Step 15: reward=-0.0000 loss=2.0586 kl=-0.5583
