Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/prophetnet-large-uncased/final_model
Epoch 1/10
  Step 01: reward=0.0000 loss=19820438787449541361664.0000 kl=-8.9126
  Step 02: reward=0.0000 loss=284977504.0000 kl=-8.3142
  Step 03: reward=0.0000 loss=3707.3530 kl=-2.0659
  Step 04: reward=-0.0000 loss=43.1967 kl=2.8998
  Step 05: reward=0.0124 loss=6.8045 kl=18.6693
  Step 06: reward=-0.0000 loss=8.9583 kl=15.9413
  Step 07: reward=0.0000 loss=6.2440 kl=14.5439
  Step 08: reward=-0.0000 loss=10.1396 kl=22.1929
  Step 09: reward=0.0290 loss=8.4240 kl=16.4555
  Step 10: reward=-0.0000 loss=6.5274 kl=11.4060
  Step 11: reward=0.0000 loss=296.9701 kl=5.8121
  Step 12: reward=-0.0000 loss=638.5912 kl=7.1552
  Step 13: reward=0.0000 loss=1015.9520 kl=-0.1659
  Step 14: reward=0.0000 loss=30118970.0000 kl=1.3393
  Step 15: reward=0.0000 loss=16086608.0000 kl=-1.6211
  Step 16: reward=-0.0000 loss=4.9347 kl=5.0807
  Step 17: reward=0.0076 loss=1047.7222 kl=2.4858
  Step 18: reward=0.0000 loss=9.9897 kl=4.1210
  Step 19: reward=-0.0000 loss=123.0663 kl=3.3689
  Step 20: reward=0.0000 loss=5.6053 kl=5.1659
  Step 21: reward=0.0000 loss=2143.6968 kl=4.6177
  Step 22: reward=-0.0000 loss=11.3175 kl=4.0214
  Step 23: reward=-0.0000 loss=373.8725 kl=10.6899
  Step 24: reward=-0.0000 loss=13.3354 kl=12.5947
  Step 25: reward=0.0000 loss=1524162.8750 kl=6.3220
  Step 26: reward=0.0000 loss=14.0499 kl=13.3145
  Step 27: reward=0.0000 loss=14.4823 kl=13.8877
  Step 28: reward=0.0000 loss=14.3148 kl=13.5938
  Step 29: reward=-0.0000 loss=68291.6172 kl=9.5427
  Step 30: reward=-0.0000 loss=274359.6250 kl=13.9590
  Step 31: reward=-0.0000 loss=6479924.0000 kl=8.0179
  Step 32: reward=0.0103 loss=17.6161 kl=16.9029
  Step 33: reward=0.0000 loss=628961344.0000 kl=9.8126
  Step 34: reward=-0.0000 loss=1947334.0000 kl=11.0534
  Step 35: reward=0.0000 loss=17.0341 kl=16.4061
  Step 36: reward=-0.0000 loss=18.1143 kl=17.5569
  Step 37: reward=-0.0000 loss=12.5727 kl=11.7612
  Step 38: reward=0.0000 loss=3547.5825 kl=4.6347
  Step 39: reward=-0.0000 loss=1267328876544.0000 kl=4.7378
  Step 40: reward=0.0000 loss=431719.7812 kl=9.1667
  Step 41: reward=-0.0000 loss=3979246080.0000 kl=-4.8440
  Step 42: reward=-0.0000 loss=50.1662 kl=2.6240
  Step 43: reward=0.0000 loss=2893.9136 kl=8.3916
  Step 44: reward=0.0000 loss=10.3496 kl=9.8745
  Step 45: reward=-0.0036 loss=6605756.0000 kl=8.1421
  Step 46: reward=0.0000 loss=34062.0156 kl=8.5810
  Step 47: reward=0.0000 loss=9.1919 kl=8.6009
  Step 48: reward=-0.0000 loss=13.0282 kl=11.6838
  Step 49: reward=-0.0000 loss=14.3309 kl=13.6871
  Step 50: reward=-0.0000 loss=13.0124 kl=12.1643
  Eval reward=0.6133 toxicity=0.1067
Epoch 2/10
  Step 01: reward=0.0024 loss=11.1354 kl=10.5542
  Step 02: reward=0.0000 loss=32.0489 kl=12.9298
  Step 03: reward=0.0000 loss=11.3145 kl=5.7377
  Step 04: reward=0.0000 loss=373245.5000 kl=11.1535
  Step 05: reward=0.0000 loss=9.0034 kl=8.3253
  Step 06: reward=-0.0000 loss=27287.6582 kl=-1.4990
  Step 07: reward=0.0000 loss=18830.9961 kl=-1.4228
  Step 08: reward=0.0000 loss=33873.6484 kl=-0.0823
  Step 09: reward=-0.0000 loss=589.0355 kl=-1.0409
