Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/t5-small/final_model
Epoch 1/10
  Step 01: reward=-0.0000 loss=1.3583 kl=2.0460
  Step 02: reward=-0.0000 loss=1.2477 kl=1.6392
  Step 03: reward=-0.0000 loss=1.1722 kl=1.0286
  Step 04: reward=-0.0000 loss=6.2580 kl=1.0261
  Step 05: reward=-0.0000 loss=2.0988 kl=2.0835
  Step 06: reward=0.0000 loss=1.2649 kl=1.3720
  Step 07: reward=0.0000 loss=1.1895 kl=1.1675
  Step 08: reward=-0.0000 loss=2.3976 kl=0.1269
  Step 09: reward=-0.0000 loss=1.5641 kl=0.7704
  Step 10: reward=-0.0000 loss=0.9994 kl=0.9912
  Step 11: reward=-0.0000 loss=2.1871 kl=1.1045
  Step 12: reward=0.0000 loss=1.3702 kl=1.5732
  Step 13: reward=0.0000 loss=1.6811 kl=1.1427
  Step 14: reward=0.0000 loss=1.9622 kl=2.4452
  Step 15: reward=-0.0000 loss=1.6021 kl=1.4235
  Step 16: reward=0.0000 loss=67383.4766 kl=0.2329
  Step 17: reward=-0.0000 loss=1.4693 kl=0.7504
  Step 18: reward=-0.0000 loss=1.6638 kl=1.3769
  Step 19: reward=0.0000 loss=1.9779 kl=1.6598
  Step 20: reward=0.0000 loss=2.1216 kl=1.2464
  Step 21: reward=-0.0000 loss=1.3449 kl=0.5670
  Step 22: reward=0.0000 loss=1.8936 kl=1.3522
  Step 23: reward=0.0000 loss=1.5842 kl=1.1024
  Step 24: reward=0.0000 loss=1.8516 kl=1.3134
  Step 25: reward=-0.0000 loss=1.8747 kl=0.9570
  Step 26: reward=-0.0000 loss=1.7411 kl=1.0711
  Step 27: reward=-0.0000 loss=1.6707 kl=0.9395
  Step 28: reward=0.0000 loss=3.8645 kl=0.7185
  Step 29: reward=0.0000 loss=1.9023 kl=0.8922
  Step 30: reward=0.0000 loss=2.1135 kl=1.3164
  Step 31: reward=-0.0000 loss=1.9816 kl=1.2995
  Step 32: reward=0.0000 loss=3.0806 kl=1.9477
  Step 33: reward=0.0000 loss=1.8388 kl=0.9948
  Step 34: reward=-0.0000 loss=3.3585 kl=0.8101
  Step 35: reward=0.0000 loss=1.9806 kl=1.2983
  Step 36: reward=-0.0000 loss=1.9051 kl=1.0226
  Step 37: reward=-0.0000 loss=1.7226 kl=1.1429
  Step 38: reward=0.0000 loss=1.9011 kl=1.2911
  Step 39: reward=-0.0000 loss=2.1178 kl=1.5365
  Step 40: reward=0.0000 loss=3.0843 kl=0.6857
  Step 41: reward=-0.0000 loss=2.0306 kl=1.3974
  Step 42: reward=0.0000 loss=2.4536 kl=1.8592
  Step 43: reward=0.0000 loss=2.1824 kl=1.3713
  Step 44: reward=0.0020 loss=2.5278 kl=0.7677
  Step 45: reward=0.0000 loss=1.5348 kl=0.4861
  Step 46: reward=0.0000 loss=1.7524 kl=0.9879
  Step 47: reward=0.0000 loss=3.6552 kl=0.1968
  Step 48: reward=0.0000 loss=2.7167 kl=1.6240
  Step 49: reward=-0.0000 loss=8.7965 kl=0.8258
  Step 50: reward=-0.0027 loss=3.8402 kl=2.9708
  Eval reward=0.6110 toxicity=0.1419
Epoch 2/10
  Step 01: reward=0.0000 loss=1.7583 kl=1.0317
  Step 02: reward=-0.0000 loss=1.9144 kl=1.2081
  Step 03: reward=-0.0000 loss=23.2707 kl=0.6472
  Step 04: reward=0.0000 loss=2.4253 kl=1.6199
  Step 05: reward=0.0000 loss=1.9014 kl=1.2339
  Step 06: reward=0.0000 loss=5.3060 kl=0.2235
  Step 07: reward=-0.0000 loss=2.3851 kl=1.8077
  Step 08: reward=-0.0000 loss=2.8965 kl=0.2257
  Step 09: reward=-0.0000 loss=1.8000 kl=1.0625
  Step 10: reward=-0.0000 loss=2.0849 kl=1.4475
  Step 11: reward=-0.0000 loss=2.6382 kl=0.8436
  Step 12: reward=0.0000 loss=2.1709 kl=1.2532
