Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/bart-base/final_model
Epoch 1/10
  Step 01: reward=0.1266 loss=0.6745 kl=0.7741
  Step 02: reward=0.1148 loss=0.8875 kl=1.5033
  Step 03: reward=0.1206 loss=0.9263 kl=1.3726
  Step 04: reward=0.1290 loss=1.1547 kl=0.6611
  Step 05: reward=0.1271 loss=0.7331 kl=1.0112
  Step 06: reward=0.1103 loss=0.8851 kl=1.0999
  Step 07: reward=0.1168 loss=127.2460 kl=0.2685
  Step 08: reward=0.1290 loss=0.8107 kl=0.4063
  Step 09: reward=0.1192 loss=1.0140 kl=0.4641
  Step 10: reward=0.1209 loss=0.7310 kl=0.5848
  Step 11: reward=0.1442 loss=0.9620 kl=0.2968
  Step 12: reward=0.1246 loss=0.6884 kl=0.5403
  Step 13: reward=0.1278 loss=4.5502 kl=-0.1316
  Step 14: reward=0.1213 loss=1.0520 kl=0.2743
  Step 15: reward=0.1255 loss=0.8846 kl=0.4998
  Step 16: reward=0.1165 loss=0.9793 kl=0.4430
  Step 17: reward=0.1167 loss=1.0829 kl=0.6166
  Step 18: reward=0.1166 loss=11.1125 kl=-0.2403
  Step 19: reward=0.1288 loss=114.2639 kl=-0.3663
  Step 20: reward=0.1105 loss=3.3327 kl=0.0992
  Step 21: reward=0.1243 loss=1.0316 kl=1.0699
  Step 22: reward=0.1227 loss=0.6896 kl=0.5918
  Step 23: reward=0.1182 loss=2.6810 kl=0.3885
  Step 24: reward=0.1249 loss=1.1522 kl=0.6010
  Step 25: reward=0.1265 loss=0.7360 kl=0.3989
  Step 26: reward=0.1175 loss=1.5816 kl=1.3059
  Step 27: reward=0.1184 loss=0.8365 kl=0.3832
  Step 28: reward=0.1161 loss=672521682681856.0000 kl=-1.5753
  Step 29: reward=0.1212 loss=26.9889 kl=0.0822
  Step 30: reward=0.1158 loss=1.3370 kl=0.8296
  Step 31: reward=0.1218 loss=2.8453 kl=0.9613
  Step 32: reward=0.1270 loss=0.7185 kl=0.4012
  Step 33: reward=0.1280 loss=4.0678 kl=0.0328
  Step 34: reward=0.1206 loss=1.5382 kl=1.3416
  Step 35: reward=0.1269 loss=4.2022 kl=0.3876
  Step 36: reward=0.1336 loss=1.3893 kl=0.4654
  Step 37: reward=0.1222 loss=0.8542 kl=0.3753
  Step 38: reward=0.1183 loss=6.4934 kl=0.5939
  Step 39: reward=0.1311 loss=2.5568 kl=1.5844
  Step 40: reward=0.1329 loss=1.2936 kl=0.4870
  Step 41: reward=0.1321 loss=1.3138 kl=0.6737
  Step 42: reward=0.1328 loss=1.1269 kl=0.4804
  Step 43: reward=0.1263 loss=1.5443 kl=0.3271
  Step 44: reward=0.1263 loss=1.0806 kl=0.1338
  Step 45: reward=0.1220 loss=1.5233 kl=0.8160
  Step 46: reward=0.1214 loss=1.4652 kl=0.9203
  Step 47: reward=0.1285 loss=1.1696 kl=0.2375
  Step 48: reward=0.1228 loss=0.7618 kl=0.3721
  Step 49: reward=0.1216 loss=1.0822 kl=0.4592
  Step 50: reward=0.1292 loss=0.6650 kl=0.2296
  Eval reward=0.6084 toxicity=0.1233
Epoch 2/10
  Step 01: reward=0.1296 loss=1.9122 kl=-0.3472
  Step 02: reward=0.1210 loss=1.0374 kl=0.5579
  Step 03: reward=0.1196 loss=0.8721 kl=0.4635
  Step 04: reward=0.1213 loss=1.0781 kl=0.4295
  Step 05: reward=0.1260 loss=1.2572 kl=0.6043
  Step 06: reward=0.1121 loss=1.3824 kl=-0.3501
  Step 07: reward=0.1202 loss=1.0762 kl=0.5457
  Step 08: reward=0.1330 loss=1.8851 kl=-0.7095
  Step 09: reward=0.1209 loss=1.3582 kl=-0.5527
  Step 10: reward=0.1092 loss=2.0436 kl=0.7339
  Step 11: reward=0.1240 loss=1.2605 kl=-0.4024
  Step 12: reward=0.1238 loss=1.1209 kl=0.0648
  Step 13: reward=0.1149 loss=1.1250 kl=-0.4351
  Step 14: reward=0.1084 loss=0.7477 kl=0.0989
  Step 15: reward=0.1270 loss=0.9011 kl=0.1823
  Step 16: reward=0.1284 loss=0.8300 kl=-0.1286
  Step 17: reward=0.1337 loss=1.1246 kl=0.7091
  Step 18: reward=0.1280 loss=0.6100 kl=0.1823
  Step 19: reward=0.1231 loss=5.0276 kl=-0.1688
  Step 20: reward=0.1219 loss=0.7859 kl=0.3121
  Step 21: reward=0.1296 loss=0.7033 kl=0.0337
  Step 22: reward=0.1146 loss=0.6527 kl=-0.0439
  Step 23: reward=0.1278 loss=5.7382 kl=-0.5945
  Step 24: reward=0.1216 loss=5.0584 kl=-0.0695
  Step 25: reward=0.1233 loss=39.7434 kl=-0.2145
  Step 26: reward=0.1194 loss=0.4266 kl=-0.1830
  Step 27: reward=0.1296 loss=0.5574 kl=0.1035
  Step 28: reward=0.1314 loss=1.0990 kl=0.8344
  Step 29: reward=0.1263 loss=1.0768 kl=0.2990
  Step 30: reward=0.1300 loss=1.2947 kl=1.0234
  Step 31: reward=0.1269 loss=0.9658 kl=0.7413
  Step 32: reward=0.1221 loss=0.9502 kl=-0.0497
  Step 33: reward=0.1202 loss=0.5575 kl=0.1309
  Step 34: reward=0.1194 loss=1.2160 kl=0.6826
  Step 35: reward=0.1179 loss=1.0099 kl=0.7676
  Step 36: reward=0.1244 loss=1.1647 kl=0.6716
  Step 37: reward=0.1289 loss=0.8999 kl=0.6034
  Step 38: reward=0.1174 loss=1.0522 kl=0.3025
  Step 39: reward=0.1223 loss=1.1949 kl=0.3606
  Step 40: reward=0.1227 loss=0.6320 kl=0.2500
  Step 41: reward=0.1130 loss=0.8795 kl=0.2298
  Step 42: reward=0.1124 loss=1.3234 kl=0.7552
  Step 43: reward=0.1336 loss=0.8361 kl=0.4617
  Step 44: reward=0.1109 loss=3.2182 kl=0.3343
  Step 45: reward=0.1245 loss=1.0694 kl=-0.4729
  Step 46: reward=0.1206 loss=1.3925 kl=0.2565
  Step 47: reward=0.1111 loss=1.2011 kl=0.6358
  Step 48: reward=0.1230 loss=4.4014 kl=-0.4541
  Step 49: reward=0.1324 loss=0.6592 kl=0.2689
  Step 50: reward=0.1281 loss=1.7239 kl=0.1139
  Eval reward=0.6060 toxicity=0.1243
Epoch 3/10
  Step 01: reward=0.1241 loss=3.0621 kl=-0.0525
  Step 02: reward=0.1212 loss=0.7063 kl=-0.1576
  Step 03: reward=0.1287 loss=0.7701 kl=0.2262
  Step 04: reward=0.1032 loss=0.7456 kl=0.3004
  Step 05: reward=0.1310 loss=1.7354 kl=-0.5685
  Step 06: reward=0.1189 loss=1.2320 kl=0.1079
  Step 07: reward=0.1268 loss=0.8126 kl=0.5591
  Step 08: reward=0.1323 loss=0.6695 kl=0.1839
  Step 09: reward=0.1255 loss=2.9802 kl=-0.4213
  Step 10: reward=0.1053 loss=0.6911 kl=-0.2071
  Step 11: reward=0.1053 loss=1.1139 kl=-0.1387
  Step 12: reward=0.1190 loss=0.9760 kl=0.1362
  Step 13: reward=0.1295 loss=1.0945 kl=0.0798
  Step 14: reward=0.1239 loss=0.9314 kl=-0.1290
  Step 15: reward=0.1249 loss=0.9419 kl=0.2706
  Step 16: reward=0.1187 loss=0.6835 kl=-0.3583
