Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/bart-paraphrase/final_model
Epoch 1/10
  Step 01: reward=0.1358 loss=1.8113 kl=-0.6497
  Step 02: reward=0.1168 loss=2.5801 kl=-0.2048
  Step 03: reward=0.1327 loss=1.3533 kl=1.1761
  Step 04: reward=0.1272 loss=1.3588 kl=-0.9558
  Step 05: reward=0.1263 loss=1.9173 kl=-0.0602
  Step 06: reward=0.1172 loss=0.8663 kl=-0.0233
  Step 07: reward=0.1275 loss=4.1678 kl=0.2543
  Step 08: reward=0.1430 loss=1.6100 kl=1.8366
  Step 09: reward=0.1337 loss=2.5003 kl=0.8525
  Step 10: reward=0.1306 loss=1.9009 kl=4.0900
  Step 11: reward=0.1251 loss=5.7237 kl=-1.3273
  Step 12: reward=0.1300 loss=6.0553 kl=2.8331
  Step 13: reward=0.1258 loss=2.4191 kl=0.8370
  Step 14: reward=0.1257 loss=1.6166 kl=1.6888
  Step 15: reward=0.1223 loss=15.1539 kl=-1.8801
  Step 16: reward=0.1289 loss=4.4246 kl=-1.0570
  Step 17: reward=0.1212 loss=1.6565 kl=-1.3888
  Step 18: reward=0.1186 loss=7.8468 kl=-0.7267
  Step 19: reward=0.1189 loss=4.6433 kl=-0.6507
  Step 20: reward=0.1195 loss=6.1774 kl=-1.1300
  Step 21: reward=0.1269 loss=0.9538 kl=-0.1453
  Step 22: reward=0.1269 loss=1.1569 kl=-0.6373
  Step 23: reward=0.1294 loss=1.0871 kl=0.5373
  Step 24: reward=0.1596 loss=57.2745 kl=-0.4604
  Step 25: reward=0.1509 loss=2.8423 kl=-0.1924
  Step 26: reward=0.1277 loss=38.5502 kl=-0.0568
  Step 27: reward=0.1580 loss=3.0495 kl=0.8339
  Step 28: reward=0.1244 loss=1.2433 kl=-0.3686
  Step 29: reward=0.1263 loss=4.9457 kl=-0.5506
  Step 30: reward=0.1279 loss=4.1221 kl=2.3132
  Step 31: reward=0.1276 loss=3.0252 kl=2.1844
  Step 32: reward=0.1613 loss=36.5635 kl=-0.2241
  Step 33: reward=0.1201 loss=1222.4235 kl=-0.5107
  Step 34: reward=0.1448 loss=3.5287 kl=1.8226
  Step 35: reward=0.1209 loss=2.1383 kl=1.5965
  Step 36: reward=0.1230 loss=10.9622 kl=-0.3011
  Step 37: reward=0.1215 loss=1.9373 kl=1.0448
  Step 38: reward=0.1262 loss=0.9646 kl=0.4880
  Step 39: reward=0.1284 loss=1.7258 kl=0.1572
  Step 40: reward=0.1218 loss=1.7066 kl=0.0123
  Step 41: reward=0.1171 loss=2.6852 kl=2.0325
  Step 42: reward=0.1268 loss=1.8456 kl=1.0114
  Step 43: reward=0.1310 loss=99.4180 kl=0.4819
  Step 44: reward=0.1376 loss=7.9123 kl=-0.6300
  Step 45: reward=0.1175 loss=1.7178 kl=0.9140
  Step 46: reward=0.1270 loss=1.9158 kl=1.4542
  Step 47: reward=0.1223 loss=1.2447 kl=0.2388
  Step 48: reward=0.1225 loss=2.3098 kl=0.5948
  Step 49: reward=0.1200 loss=25.4163 kl=0.9958
  Step 50: reward=0.1313 loss=1.9252 kl=1.0075
  Eval reward=0.6099 toxicity=0.0616
Epoch 2/10
  Step 01: reward=0.1592 loss=2.5379 kl=1.9054
  Step 02: reward=0.1289 loss=3.7506 kl=0.8586
  Step 03: reward=0.1263 loss=2.8203 kl=2.4218
  Step 04: reward=0.1202 loss=1.2356 kl=0.5089
  Step 05: reward=0.1682 loss=0.9859 kl=0.3285
  Step 06: reward=0.1205 loss=4.3055 kl=-0.1103
  Step 07: reward=0.1276 loss=1.6025 kl=1.1703
  Step 08: reward=0.1260 loss=3.2081 kl=0.3195
  Step 09: reward=0.1446 loss=2.4009 kl=-0.4258
  Step 10: reward=0.1443 loss=95.3053 kl=-0.7280
  Step 11: reward=0.1261 loss=1.6718 kl=1.2688
  Step 12: reward=0.1276 loss=1.6428 kl=1.3073
  Step 13: reward=0.1240 loss=2.7262 kl=0.7747
  Step 14: reward=0.1224 loss=1.4837 kl=0.5308
  Step 15: reward=0.1301 loss=2.1198 kl=0.0295
  Step 16: reward=0.1342 loss=5.7806 kl=0.2059
  Step 17: reward=0.1218 loss=2.1606 kl=1.4253
  Step 18: reward=0.1307 loss=1.2910 kl=0.8070
  Step 19: reward=0.1244 loss=3.3046 kl=2.9790
  Step 20: reward=0.1222 loss=6.8391 kl=0.9120
  Step 21: reward=0.1263 loss=13.9071 kl=1.4599
  Step 22: reward=0.1306 loss=1029287.8750 kl=0.2195
  Step 23: reward=0.1219 loss=5.0942 kl=1.7110
  Step 24: reward=0.1222 loss=2.0385 kl=0.3864
  Step 25: reward=0.1238 loss=9.6391 kl=3.2599
  Step 26: reward=0.1212 loss=1.4547 kl=-0.6488
  Step 27: reward=0.1798 loss=2.7209 kl=-0.5593
  Step 28: reward=0.1542 loss=2.2290 kl=-0.5461
  Step 29: reward=0.1243 loss=1.4842 kl=0.1409
  Step 30: reward=0.1239 loss=0.7730 kl=0.1396
  Step 31: reward=0.1214 loss=6.0461 kl=0.4549
  Step 32: reward=0.1299 loss=5.6166 kl=-0.1459
  Step 33: reward=0.1120 loss=2.1516 kl=1.9413
  Step 34: reward=0.1281 loss=1.2961 kl=0.7993
  Step 35: reward=0.1294 loss=8.7178 kl=1.0495
  Step 36: reward=0.1204 loss=0.8510 kl=0.5085
  Step 37: reward=0.1543 loss=1.9361 kl=1.6957
  Step 38: reward=0.1226 loss=14.2442 kl=0.5537
  Step 39: reward=0.1220 loss=1.7393 kl=1.2133
  Step 40: reward=0.1559 loss=1.5197 kl=0.6602
  Step 41: reward=0.1262 loss=1.5808 kl=1.2585
  Step 42: reward=0.1317 loss=0.8736 kl=0.5121
  Step 43: reward=0.1242 loss=4.0973 kl=2.2225
  Step 44: reward=0.1212 loss=1.1735 kl=0.2058
  Step 45: reward=0.1148 loss=0.7288 kl=0.3738
  Step 46: reward=0.1321 loss=1.2037 kl=0.7794
  Step 47: reward=0.1236 loss=2.7293 kl=0.8765
  Step 48: reward=0.1251 loss=2.8630 kl=1.9543
  Step 49: reward=0.1283 loss=3.4225 kl=0.1333
  Step 50: reward=0.1419 loss=2.3227 kl=1.5711
  Eval reward=0.6215 toxicity=0.0760
Epoch 3/10
  Step 01: reward=0.1290 loss=1.2293 kl=0.5460
  Step 02: reward=0.1170 loss=1.5605 kl=0.6080
  Step 03: reward=0.1274 loss=3.3815 kl=0.5374
  Step 04: reward=0.1267 loss=2.7546 kl=1.3168
  Step 05: reward=0.1190 loss=2.9516 kl=2.1688
  Step 06: reward=0.1212 loss=1.4322 kl=-0.1744
  Step 07: reward=0.1276 loss=1.2440 kl=0.6706
  Step 08: reward=0.1257 loss=6.1093 kl=2.0824
  Step 09: reward=0.1213 loss=3.0254 kl=2.5036
  Step 10: reward=0.1239 loss=0.5498 kl=-0.0153
  Step 11: reward=0.1246 loss=0.4552 kl=0.0190
  Step 12: reward=0.1175 loss=0.7405 kl=0.2429
  Step 13: reward=0.1230 loss=1.2398 kl=0.7268
  Step 14: reward=0.1336 loss=1.5238 kl=0.1418
  Step 15: reward=0.1252 loss=1.6367 kl=0.9499
  Step 16: reward=0.1242 loss=5.3611 kl=1.5543
  Step 17: reward=0.1250 loss=1.6793 kl=-0.0943
  Step 18: reward=0.1110 loss=3.1691 kl=1.8524
  Step 19: reward=0.1297 loss=1.0844 kl=0.2387
  Step 20: reward=0.1315 loss=1.1742 kl=0.8351
  Step 21: reward=0.1265 loss=1.5534 kl=1.0074
  Step 22: reward=0.1171 loss=1.1138 kl=0.4799
  Step 23: reward=0.1241 loss=12.2114 kl=0.0074
  Step 24: reward=0.1211 loss=1.1826 kl=0.6916
  Step 25: reward=0.1337 loss=0.8905 kl=-0.0615
  Step 26: reward=0.1270 loss=1.7969 kl=0.7410
  Step 27: reward=0.1186 loss=2.1863 kl=0.6789
  Step 28: reward=0.1227 loss=1.7564 kl=1.1198
  Step 29: reward=0.1262 loss=1.5438 kl=0.6672
  Step 30: reward=0.1227 loss=0.5310 kl=0.0965
  Step 31: reward=0.1104 loss=1.4096 kl=0.9451
  Step 32: reward=0.1218 loss=0.7198 kl=0.3657
  Step 33: reward=0.1236 loss=0.7365 kl=-0.1353
  Step 34: reward=0.1274 loss=1.9022 kl=0.2402
  Step 35: reward=0.1221 loss=1.6343 kl=1.2115
  Step 36: reward=0.1298 loss=1.8503 kl=0.9789
  Step 37: reward=0.1277 loss=1.0049 kl=0.2063
  Step 38: reward=0.1634 loss=2.5321 kl=1.1007
  Step 39: reward=0.1288 loss=2.2470 kl=0.3828
  Step 40: reward=0.1467 loss=2.0511 kl=0.8985
  Step 41: reward=0.1326 loss=0.8936 kl=-0.1592
  Step 42: reward=0.1214 loss=1.8950 kl=0.9832
  Step 43: reward=0.1253 loss=1.2805 kl=0.8365
  Step 44: reward=0.1170 loss=0.7787 kl=0.1714
  Step 45: reward=0.1193 loss=0.7317 kl=0.4502
  Step 46: reward=0.1230 loss=1.2510 kl=0.8492
  Step 47: reward=0.1232 loss=0.5860 kl=0.0822
  Step 48: reward=0.1181 loss=1.5658 kl=0.6482
  Step 49: reward=0.1274 loss=1.5856 kl=-0.0571
  Step 50: reward=0.1332 loss=0.9668 kl=0.6210
  Eval reward=0.6199 toxicity=0.0898
Epoch 4/10
  Step 01: reward=0.1279 loss=1.1571 kl=0.4900
  Step 02: reward=0.1223 loss=2.2324 kl=1.4539
  Step 03: reward=0.1305 loss=4.1421 kl=2.9582
  Step 04: reward=0.1244 loss=1.1396 kl=-0.0649
  Step 05: reward=0.1313 loss=1.9478 kl=0.6090
  Step 06: reward=0.1139 loss=3.7779 kl=-0.8188
  Step 07: reward=0.1174 loss=1.5398 kl=-0.5194
  Step 08: reward=0.1298 loss=2.4994 kl=1.6583
  Step 09: reward=0.1273 loss=34.2324 kl=-0.3130
  Step 10: reward=0.1221 loss=3.0977 kl=-0.9548
  Step 11: reward=0.1205 loss=2.4506 kl=2.0500
  Step 12: reward=0.1350 loss=2.0075 kl=0.7489
  Step 13: reward=0.1126 loss=3.3185 kl=2.2028
  Step 14: reward=0.1291 loss=17.3927 kl=1.9975
  Step 15: reward=0.1264 loss=0.7564 kl=0.2552
  Step 16: reward=0.1459 loss=6.4835 kl=6.0221
  Step 17: reward=0.1251 loss=2.6853 kl=0.1912
  Step 18: reward=0.1156 loss=6.2584 kl=2.4053
  Step 19: reward=0.1218 loss=2.7740 kl=2.1714
  Step 20: reward=0.1129 loss=1.3831 kl=0.7756
  Step 21: reward=0.1394 loss=1.9718 kl=1.5318
  Step 22: reward=0.1231 loss=1.8292 kl=1.2390
  Step 23: reward=0.1289 loss=3.6734 kl=1.0459
  Step 24: reward=0.1202 loss=6.7011 kl=5.1504
  Step 25: reward=0.1570 loss=3.2962 kl=1.3741
  Step 26: reward=0.1291 loss=3.8817 kl=2.4925
  Step 27: reward=0.1250 loss=2.4440 kl=2.1102
  Step 28: reward=0.1266 loss=2.1238 kl=1.7981
  Step 29: reward=0.1181 loss=2.4374 kl=1.7731
  Step 30: reward=0.1258 loss=3.2859 kl=2.4516
  Step 31: reward=0.1280 loss=2.9539 kl=2.1525
  Step 32: reward=0.1242 loss=2.0175 kl=1.2513
  Step 33: reward=0.1254 loss=7.7852 kl=0.0275
  Step 34: reward=0.1319 loss=1.8009 kl=1.3830
  Step 35: reward=0.1315 loss=2.3974 kl=1.7230
  Step 36: reward=0.1279 loss=4.9442 kl=4.2417
  Step 37: reward=0.1175 loss=3.0638 kl=1.3205
  Step 38: reward=0.1274 loss=6.9415 kl=0.4077
  Step 39: reward=0.1298 loss=2.0260 kl=1.2813
  Step 40: reward=0.1332 loss=5.6937 kl=0.6648
  Step 41: reward=0.1254 loss=1.0083 kl=0.4140
