Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/blenderbot/final_model
Epoch 1/10
  Step 01: reward=0.1177 loss=389824.5312 kl=-0.5285
  Step 02: reward=0.1191 loss=1.7734 kl=4.9944
  Step 03: reward=0.1171 loss=1.6850 kl=4.2452
  Step 04: reward=0.1172 loss=0.5490 kl=0.4192
  Step 05: reward=0.1156 loss=1.6525 kl=-0.0334
  Step 06: reward=0.1164 loss=0.6456 kl=-0.7860
  Step 07: reward=0.1128 loss=5.1563 kl=-0.0848
  Step 08: reward=0.1230 loss=0.4975 kl=-0.2565
  Step 09: reward=0.1195 loss=12.3998 kl=-0.1647
  Step 10: reward=0.1175 loss=0.9978 kl=-0.0192
  Step 11: reward=0.1163 loss=1.0866 kl=-0.5883
  Step 12: reward=0.1222 loss=0.7781 kl=0.9054
  Step 13: reward=0.1208 loss=1.4531 kl=2.1068
  Step 14: reward=0.1228 loss=0.3814 kl=0.2169
  Step 15: reward=0.1176 loss=1.1723 kl=1.4229
  Step 16: reward=0.1152 loss=0.5457 kl=0.0049
  Step 17: reward=0.1232 loss=7.3066 kl=-0.3550
  Step 18: reward=0.1194 loss=0.5913 kl=0.3153
  Step 19: reward=0.1206 loss=0.4119 kl=-0.0018
  Step 20: reward=0.1069 loss=0.6020 kl=0.0237
  Step 21: reward=0.1272 loss=0.4443 kl=0.5945
  Step 22: reward=0.1202 loss=3760545857536.0000 kl=-2.4343
  Step 23: reward=0.1218 loss=2.1591 kl=-0.4899
  Step 24: reward=0.1213 loss=1.8336 kl=-0.0944
  Step 25: reward=0.1208 loss=102.5680 kl=-1.2218
