Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/mvp/final_model
Epoch 1/10
  Step 01: reward=0.1294 loss=2.7985 kl=-0.1776
  Step 02: reward=0.1225 loss=2.2604 kl=-1.7023
  Step 03: reward=0.1233 loss=1.9457 kl=-1.0893
  Step 04: reward=0.1297 loss=1.2992 kl=-0.5166
  Step 05: reward=0.1238 loss=0.9050 kl=-0.4924
  Step 06: reward=0.1226 loss=1.5972 kl=0.1845
  Step 07: reward=0.1263 loss=74.3854 kl=-1.4345
  Step 08: reward=0.1323 loss=1.0455 kl=-0.6074
  Step 09: reward=0.1244 loss=3.8393 kl=-1.1241
  Step 10: reward=0.1280 loss=2.5180 kl=-1.0293
  Step 11: reward=0.1287 loss=11.5934 kl=-1.2233
  Step 12: reward=0.1782 loss=2.0885 kl=1.1761
  Step 13: reward=0.1275 loss=1.3422 kl=0.5667
  Step 14: reward=0.1286 loss=8.8121 kl=-0.9734
  Step 15: reward=0.1226 loss=3.8741 kl=-0.5245
  Step 16: reward=0.1295 loss=1.3866 kl=-0.4776
  Step 17: reward=0.1241 loss=0.8122 kl=0.0393
  Step 18: reward=0.1201 loss=1.2074 kl=0.7369
  Step 19: reward=0.1225 loss=1.9652 kl=-0.7004
  Step 20: reward=0.1199 loss=4.0657 kl=-1.7438
  Step 21: reward=0.1266 loss=4.0301 kl=1.1026
  Step 22: reward=0.1264 loss=3.4701 kl=-1.1037
  Step 23: reward=0.1283 loss=0.5947 kl=-0.1706
  Step 24: reward=0.1225 loss=1.5054 kl=-0.5388
  Step 25: reward=0.1637 loss=3.8476 kl=1.5979
  Step 26: reward=0.1293 loss=0.3559 kl=0.0743
  Step 27: reward=0.1265 loss=1.7536 kl=-0.4778
  Step 28: reward=0.1200 loss=2.2317 kl=-0.5032
  Step 29: reward=0.1505 loss=1.1092 kl=0.8503
  Step 30: reward=0.1298 loss=1.0002 kl=-0.4114
  Step 31: reward=0.1304 loss=2.3493 kl=-0.9593
  Step 32: reward=0.1372 loss=1.0078 kl=-0.1832
  Step 33: reward=0.1205 loss=0.7405 kl=-0.1009
  Step 34: reward=0.1256 loss=5.1928 kl=1.7133
  Step 35: reward=0.1221 loss=1.0461 kl=0.5348
  Step 36: reward=0.1271 loss=2.7634 kl=2.0402
  Step 37: reward=0.1202 loss=3.4333 kl=-0.4107
  Step 38: reward=0.1238 loss=4.0134 kl=2.6459
  Step 39: reward=0.1225 loss=0.5783 kl=-0.2426
  Step 40: reward=0.1378 loss=2.6170 kl=0.5531
  Step 41: reward=0.1559 loss=0.6987 kl=0.2352
  Step 42: reward=0.1281 loss=3.1770 kl=0.6837
  Step 43: reward=0.1222 loss=0.9589 kl=0.4540
  Step 44: reward=0.1176 loss=0.9305 kl=0.0397
  Step 45: reward=0.1174 loss=18.2521 kl=0.0236
  Step 46: reward=0.1250 loss=1.5977 kl=0.1984
  Step 47: reward=0.1222 loss=1.6568 kl=1.3249
  Step 48: reward=0.1396 loss=3.9475 kl=3.6425
  Step 49: reward=0.1246 loss=3.2114 kl=2.6410
  Step 50: reward=0.1256 loss=1.5411 kl=1.1480
  Eval reward=0.6093 toxicity=0.0778
Epoch 2/10
  Step 01: reward=0.1751 loss=1.1079 kl=0.5802
  Step 02: reward=0.1243 loss=4.4610 kl=4.0097
  Step 03: reward=0.1245 loss=1.6105 kl=0.7839
  Step 04: reward=0.1257 loss=0.5048 kl=-0.0516
  Step 05: reward=0.1634 loss=1.6295 kl=0.6411
  Step 06: reward=0.1141 loss=1.2210 kl=0.8706
  Step 07: reward=0.1615 loss=0.5267 kl=0.2032
  Step 08: reward=0.1263 loss=7.3969 kl=0.2458
  Step 09: reward=0.1496 loss=2.7634 kl=1.6887
  Step 10: reward=0.1562 loss=1.9471 kl=-0.5953
  Step 11: reward=0.1226 loss=1.4128 kl=-0.3153
  Step 12: reward=0.1265 loss=1.9299 kl=0.8747
  Step 13: reward=0.1234 loss=5.0759 kl=-0.6427
  Step 14: reward=0.1213 loss=2.8221 kl=-0.9079
  Step 15: reward=0.1263 loss=12.3882 kl=-0.2282
  Step 16: reward=0.1277 loss=1.0488 kl=-0.5268
  Step 17: reward=0.1211 loss=3.0347 kl=1.8511
  Step 18: reward=0.1297 loss=0.7459 kl=-0.3435
  Step 19: reward=0.1261 loss=8.3924 kl=-0.7825
  Step 20: reward=0.1229 loss=0.7242 kl=-0.1195
  Step 21: reward=0.1244 loss=1.4277 kl=0.3006
  Step 22: reward=0.1269 loss=1.1556 kl=0.8016
  Step 23: reward=0.1234 loss=0.7086 kl=-0.4299
  Step 24: reward=0.1218 loss=2.3893 kl=2.0872
  Step 25: reward=0.1246 loss=1.3125 kl=1.0347
  Step 26: reward=0.1221 loss=1.1578 kl=0.5849
  Step 27: reward=0.1317 loss=0.3704 kl=-0.0558
  Step 28: reward=0.1288 loss=0.6275 kl=0.1022
  Step 29: reward=0.1231 loss=1.6911 kl=1.3708
  Step 30: reward=0.1159 loss=0.5841 kl=-0.1208
  Step 31: reward=0.1212 loss=0.7450 kl=0.4707
  Step 32: reward=0.1311 loss=6.8306 kl=-0.6245
  Step 33: reward=0.1125 loss=3.7079 kl=2.0218
  Step 34: reward=0.1262 loss=0.9936 kl=-0.2268
  Step 35: reward=0.1273 loss=1.1157 kl=0.6700
  Step 36: reward=0.1213 loss=1.0976 kl=0.6661
  Step 37: reward=0.1274 loss=1.1531 kl=0.4247
  Step 38: reward=0.1189 loss=1.3954 kl=0.4191
  Step 39: reward=0.1214 loss=2.7430 kl=2.3424
  Step 40: reward=0.1584 loss=0.6390 kl=-0.3596
  Step 41: reward=0.1288 loss=10.2004 kl=-0.2735
  Step 42: reward=0.1276 loss=4.2556 kl=-0.1455
  Step 43: reward=0.1249 loss=0.4938 kl=0.1341
  Step 44: reward=0.1199 loss=0.5090 kl=0.2148
  Step 45: reward=0.1197 loss=1.0738 kl=-0.1538
  Step 46: reward=0.1222 loss=1.9610 kl=1.3479
  Step 47: reward=0.1605 loss=2.9243 kl=2.6897
  Step 48: reward=0.1220 loss=3.0275 kl=-0.2203
  Step 49: reward=0.1291 loss=1.9638 kl=1.6035
  Step 50: reward=0.1187 loss=1.5790 kl=-0.2482
  Eval reward=0.6150 toxicity=0.0788
Epoch 3/10
  Step 01: reward=0.1249 loss=1.1577 kl=0.6737
  Step 02: reward=0.1168 loss=1.2506 kl=0.4561
  Step 03: reward=0.1296 loss=1.0241 kl=0.4664
  Step 04: reward=0.1252 loss=1.6985 kl=0.6967
  Step 05: reward=0.1214 loss=0.8824 kl=0.1957
  Step 06: reward=0.1263 loss=3.4570 kl=0.9761
  Step 07: reward=0.1305 loss=0.6846 kl=0.2518
  Step 08: reward=0.1271 loss=1.4584 kl=-0.1859
