Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/prophetnet-large-uncased/final_model
Epoch 1/10
  Step 01: reward=0.1198 loss=6453011456.0000 kl=-8.9126
  Step 02: reward=0.1247 loss=30.0958 kl=-0.1752
  Step 03: reward=0.1212 loss=3.3119 kl=11.2922
  Step 04: reward=0.1238 loss=3.8568 kl=12.6511
  Step 05: reward=0.1336 loss=3.5914 kl=10.5122
  Step 06: reward=0.1234 loss=236848.1250 kl=8.5541
  Step 07: reward=0.1279 loss=631.5213 kl=3.1522
  Step 08: reward=0.1306 loss=56273.0781 kl=3.2822
  Step 09: reward=0.1245 loss=4.5123 kl=9.4435
  Step 10: reward=0.1265 loss=158806.5938 kl=-0.4465
  Step 11: reward=0.1253 loss=1.9045 kl=3.2412
  Step 12: reward=0.1295 loss=230.5365 kl=2.4794
  Step 13: reward=0.1219 loss=4.8154 kl=7.2816
  Step 14: reward=0.1287 loss=514391456.0000 kl=2.6427
  Step 15: reward=0.1203 loss=18621067264.0000 kl=1.4979
  Step 16: reward=0.1273 loss=338939.3438 kl=-2.2935
