Some weights of the model checkpoint at SkolkovoInstitute/roberta_toxicity_classifier were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of the model checkpoint at textattack/roberta-base-CoLA were not used when initializing RobertaForSequenceClassification: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
- This IS expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Using device: mps
Loading policy initialization from TRAIN/t5-small/final_model
Epoch 1/10
  Step 01: reward=0.1311 loss=1.1440 kl=2.0460
  Step 02: reward=0.1265 loss=1.1411 kl=1.6387
  Step 03: reward=0.1235 loss=1.0005 kl=1.0277
  Step 04: reward=0.1312 loss=4.7880 kl=1.0250
  Step 05: reward=0.1129 loss=1.7406 kl=2.0807
  Step 06: reward=0.1297 loss=1.0278 kl=1.3705
  Step 07: reward=0.1224 loss=1.0520 kl=1.1647
  Step 08: reward=0.1252 loss=2.2982 kl=0.1210
  Step 09: reward=0.1159 loss=1.3800 kl=0.7696
  Step 10: reward=0.1130 loss=0.9529 kl=0.9889
  Step 11: reward=0.1140 loss=1.8640 kl=1.1039
  Step 12: reward=0.1262 loss=1.3464 kl=1.5707
  Step 13: reward=0.1264 loss=1.8472 kl=1.1381
  Step 14: reward=0.1210 loss=2.0295 kl=2.4414
  Step 15: reward=0.1253 loss=1.4859 kl=1.4181
  Step 16: reward=0.1181 loss=100586.6719 kl=0.2325
  Step 17: reward=0.1232 loss=1.2989 kl=0.7338
  Step 18: reward=0.1102 loss=1.5668 kl=1.2856
  Step 19: reward=0.1302 loss=1.9729 kl=1.6561
  Step 20: reward=0.1122 loss=1.9157 kl=1.2391
  Step 21: reward=0.1254 loss=1.2334 kl=0.5658
  Step 22: reward=0.1184 loss=1.8672 kl=1.3462
  Step 23: reward=0.1279 loss=1.6690 kl=1.0987
  Step 24: reward=0.1235 loss=1.6684 kl=1.3068
  Step 25: reward=0.1206 loss=1.7651 kl=0.9948
  Step 26: reward=0.1204 loss=1.4683 kl=1.0690
